展区,建筑,楼层,空间/展厅,类型,内容,来源文档,置信度,备注
王墓展区,主体陈列楼,,南越藏珍——西汉南越王墓出土文物陈列,基本陈列,展出南越文王墓出土文物1000多套、一万余件,DOC_248/DOC_250,官方,展览地点见馆方假期开放指南
王墓展区,主体陈列楼,,南越文帝（单元）,展览单元,文帝行玺金印、帝印、赵眜印等玺印；丝缕玉衣与珠玉敛葬,DOC_250,官方+项目推断,单元归属依陈列介绍上下文推断，待导览图核实
王墓展区,主体陈列楼,,美玉大观（单元）,展览单元,角形玉杯、透雕龙凤纹重环玉佩、组玉佩等玉器,DOC_250,项目推断,待官方导览图核实
王墓展区,主体陈列楼,,兵器车马（单元）,展览单元,铜弩机、错金铭文铜虎节等,DOC_250,项目推断,待官方导览图核实
王墓展区,主体陈列楼,,海路扬帆（单元）,展览单元,船纹铜提筒等,DOC_250,项目推断,待官方导览图核实
王墓展区,主体陈列楼,,生活器具（单元）,展览单元,铜釜甑、铜烤炉等,DOC_250,项目推断,待官方导览图核实
王墓展区,主体陈列楼,,宫廷宴乐（单元）,展览单元,宴乐相关器物,DOC_250,项目推断,待官方导览图核实
王墓展区,综合陈列楼,1F,收费讲解服务台,服务设施,购买收费人工讲解、墓室下层导赏,DOC_245,官方,
王墓展区,综合陈列楼,2F,杨永德伉俪捐赠藏枕专题陈列,专题陈列,藏枕专题陈列,DOC_248,官方,
王墓展区,综合陈列楼,3F,临展厅,临时展览,临展举办场地（如“尼罗河的赠礼”展曾设于此）,DOC_248,官方,
王墓展区,古墓保护区,上层,南越文王墓原址上层,遗址展示,全面对外开放,DOC_237/DOC_248,官方,
王墓展区,古墓保护区,下层,南越文王墓墓室下层,遗址展示,预约限流参观：每小时上限50人、每人停留上限20分钟、提前一天00:00放票、14周岁（含）以下须成人陪同,DOC_236,官方,维护期暂停
王墓展区,（展区内）,,自助行李寄存柜,服务设施,自助寄存,DOC_234,官方,具体位置未注明
王墓展区,（展区内）,,服务台,服务设施,咨询、投诉、医药箱、租借（老花镜/助听器/婴儿车/拐杖/轮椅/盲文简介）,DOC_243,官方,
王宫展区,（遗址区）,,南越国宫署遗址,遗址展示,大型石构水池、曲流石渠（1995/1997全国十大考古新发现）,DOC_249,官方,
王宫展区,陈列楼,,岭南两千年中心地,基本陈列,广州两千年城市史主题陈列,DOC_249,官方,
王宫展区,陈列楼,1F,南越工坊,教育活动空间,手工活动场地,DOC_249,官方,
王宫展区,南越宫苑馆,1F,收费讲解服务台,服务设施,购买收费人工讲解,DOC_245,官方,
王宫展区,南越宫苑馆,2F,临展厅,临时展览,临展举办场地,DOC_249,官方,
王宫展区,南越宫苑,2F室外,室外展示休闲区,展示休闲区,户外展示与休息,DOC_249,官方,
王宫展区,（展区内）,,免费行李寄存,服务设施,免费寄存行李,DOC_235,官方,
王宫展区,东门,,入口,出入口,中山四路316号，近城隍庙,DOC_235,官方,
王宫展区,西门,,出口,出入口,北京路374号，近广东省财政厅,DOC_235,官方,
