编号,游客问法,标准意图,展区,关联文档,备注
FAQ_001,南越王博物院几点开门？,query_opening_hours,两展区,DOC_234/DOC_235,
FAQ_002,王墓展区下午几点停止入场？,query_last_entry,王墓展区,DOC_234,17:00停止售票及进场
FAQ_003,王宫展区几点关门？,query_opening_hours,王宫展区,DOC_235/DOC_239,暑期延至18:00
FAQ_004,周一能去参观吗？,query_monday_closed,两展区,DOC_234/DOC_235,逢周一闭馆，法定节假日除外
FAQ_005,国庆节开馆吗？,query_holiday_opening,两展区,DOC_234,法定假期照常开放
FAQ_006,暑假开放时间有变化吗？,query_summer_hours,王宫展区,DOC_239,2026年7月11日-8月31日王宫延至18:00
FAQ_007,台风天会不会临时闭馆？,query_temporary_closure,两展区,DOC_240,以官方公众号通知为准
FAQ_008,墓室下层几点开放？,query_tomb_lower_hours,王墓展区,DOC_236,9:00-17:00分时段
FAQ_009,王墓展区门票多少钱？,query_ticket_price,王墓展区,DOC_234,全票10元、半价5元
FAQ_010,王宫展区要门票吗？,query_ticket_price,王宫展区,DOC_235,免费预约参观
FAQ_011,学生票怎么买？,query_half_ticket,王墓展区,DOC_234,全日制本科及以下半价5元
FAQ_012,老人参观免费吗？,query_free_ticket,王墓展区,DOC_234,65周岁（含）以上免费不免票
FAQ_013,小孩要买票吗？,query_free_ticket,王墓展区,DOC_234,18周岁（不含）以下免费不免票
FAQ_014,60岁有优惠吗？,query_half_ticket,王墓展区,DOC_234,60-64周岁（含）半价
FAQ_015,门票怎么预约？,query_reservation,两展区,DOC_234/DOC_235/DOC_246,微信公众号实名预约
FAQ_016,不预约能进吗？,query_reservation_required,两展区,DOC_246,全员预约制
FAQ_017,没带身份证怎么办？,query_id_requirement,两展区,DOC_234/DOC_235,凭身份证核验，详询服务台
FAQ_018,墓室下层怎么预约？,query_tomb_lower_reservation,王墓展区,DOC_236,提前一天公众号免费预约
FAQ_019,墓室下层参观票几点放票？,query_tomb_lower_release,王墓展区,DOC_236,每日00:00放票
FAQ_020,墓室下层能待多久？,query_tomb_lower_duration,王墓展区,DOC_236,每人上限20分钟
FAQ_021,小孩能进墓室下层吗？,query_tomb_lower_children,王墓展区,DOC_236,14周岁（含）以下须成人陪同
FAQ_022,墓室下层一次进多少人？,query_tomb_lower_quota,王墓展区,DOC_236,每小时上限50人
FAQ_023,大门票包含墓室下层吗？,query_ticket_scope,王墓展区,DOC_234/DOC_236,不含，需另行预约
FAQ_024,王墓展区怎么走？,query_transport,王墓展区,DOC_234/DOC_247,地铁二号线越秀公园站E出口
FAQ_025,王宫展区地铁哪个出口？,query_transport,王宫展区,DOC_235/DOC_247,公园前站F出口
FAQ_026,坐公交到王墓展区哪站下？,query_transport_bus,王墓展区,DOC_234,越秀公园、解放北路口、盘福路站
FAQ_027,王墓和王宫展区是同一个地方吗？,query_zone_difference,两展区,DOC_247,两个地址，相距约两站地铁
FAQ_028,两个展区能一起参观吗？,query_two_zone_trip,两展区,DOC_256,需分别预约
FAQ_029,王宫展区从哪个门进？,query_entrance_exit,王宫展区,DOC_235,东门进、西门出
FAQ_030,有免费讲解吗？,query_free_guide,两展区,DOC_245,每天9:30定时定点讲解
FAQ_031,免费讲解几点开始？怎么参加？,query_free_guide_time,两展区,DOC_245,限20人额满即止，详询服务台
FAQ_032,收费讲解在哪里买？,query_paid_guide,两展区,DOC_245,综合陈列楼一楼/南越宫苑馆一楼服务台
FAQ_033,有英文讲解吗？,query_multilingual_guide,两展区,DOC_243/DOC_245,自助讲解器含英语等多语种
FAQ_034,有没有语音导览？,query_audio_guide,两展区,DOC_245,线上语音导览+自助讲解器
FAQ_035,手语导赏怎么预约？,query_sign_language,两展区,DOC_244,提前7个工作日扫码预约
FAQ_036,墓室下层的考古讲解多少钱？,query_tomb_tour_price,王墓展区,DOC_236,150元/人90分钟
FAQ_037,旅行社能带团进馆讲解吗？,query_third_party_guide,两展区,DOC_241,2026-09-01起须提前3个工作日申请
FAQ_038,行李可以寄存吗？,query_luggage,两展区,DOC_243,王宫免费寄存、王墓自助寄存柜
FAQ_039,有轮椅租吗？,query_wheelchair,两展区,DOC_244,服务台租借
FAQ_040,婴儿车可以租吗？,query_stroller,两展区,DOC_243/DOC_244,服务台租借
FAQ_041,有老花镜、助听器吗？,query_accessibility_loan,两展区,DOC_243/DOC_244,服务台租借
FAQ_042,馆里有充电宝吗？,query_powerbank,两展区,DOC_243,充电宝租借
FAQ_043,有母婴室吗？,query_baby_care,两展区,DOC_243,官网未明示，列入待核实
FAQ_044,咨询电话是多少？,query_contact_phone,两展区,DOC_234/DOC_235,王墓020-36182920、王宫020-83896501
FAQ_045,丢东西了找谁？,query_lost_found,两展区,DOC_243,服务台咨询，失物招领流程待核实
FAQ_046,馆内可以拍照吗？,query_photography,两展区,DOC_246,官网未明示，列入待核实
FAQ_047,能带食物进馆吗？,query_food_rules,两展区,DOC_246,官网未明示，列入待核实
FAQ_048,馆外商铺的讲解靠谱吗？,query_unauthorized_guide,两展区,DOC_242,院外商铺均未获授权
FAQ_049,门口卖的文创是正品吗？,query_unauthorized_shop,两展区,DOC_242,认准展区内官方文创商店
FAQ_050,研学机构怎么报备？,query_research_registration,两展区,DOC_241,官网下载申请表发邮箱审核
FAQ_051,第一次去看什么？,route_first_time,王墓展区,DOC_251,
FAQ_052,只有半小时看哪些文物？,route_30min,王墓展区,DOC_252,
FAQ_053,一小时怎么逛？,route_60min,王墓展区,DOC_253,
FAQ_054,两小时深度游怎么安排？,route_120min,王墓展区,DOC_254,
FAQ_055,半天能把王墓展区看完吗？,route_halfday,王墓展区,DOC_255,
FAQ_056,带孩子怎么参观？,route_family,王墓展区,DOC_257,
FAQ_057,学生研学怎么做？,route_student,王墓展区,DOC_258,
FAQ_058,老人参观怎么省力？,route_senior,王墓展区,DOC_259,
FAQ_059,坐轮椅能参观吗？,route_wheelchair,两展区,DOC_260,墓原址可达性待核实
FAQ_060,下雨天怎么安排？,route_rainy,王墓展区,DOC_261,
FAQ_061,最值得看的文物有哪些？,relic_highlights,王墓展区,DOC_250,官方点名：文帝行玺、玉角杯、错金铭文虎节、印花铜板模、平板玻璃铜牌饰
