文物名称,常见别名,展区,建筑,楼层,展览单元,单元置信度,官方推荐理由,能回答的核心问题,建议停留(分钟),适合人群,相关文物,来源文档
“文帝行玺”龙钮金印,文帝行玺金印,王墓展区,主体陈列楼,,南越文帝,推断,馆方明确表述其具有重大历史、科学、艺术价值；为判断墓主身份提供直接依据,墓主是谁？金印证明什么？,5,"first_time,student,history",帝印、赵眜印、丝缕玉衣,DOC_013/DOC_250
丝缕玉衣,玉衣,王墓展区,主体陈列楼,,南越文帝,推断,我国目前发现唯一一套形制完备的丝缕玉衣，凸显南越文帝身份地位,玉衣怎么做的？为什么用玉衣下葬？,6,"first_time,family,craft",墓主人组玉佩、右夫人组玉佩,DOC_014/DOC_250
角形玉杯（犀角形玉杯）,玉角杯,王墓展区,主体陈列楼,,美玉大观,推断,馆方明确表述玉角杯具有重大历史、科学、艺术价值,杯子为什么是角形？玉料从哪来？,4,"first_time,craft",铜承盘高足玉杯、玉盒,DOC_015/DOC_250
船纹铜提筒,铜提筒,王墓展区,主体陈列楼,,海路扬帆,推断,筒身船纹反映岭南水上交通与海上交流，是海丝关联的重要物证,船纹画了什么？说明什么？,4,"student,history",平板玻璃铜牌饰,DOC_028/DOC_250
错金铭文铜虎节,铜虎节、虎节,王墓展区,主体陈列楼,,兵器车马,推断,馆方明确表述错金铭文虎节具有重大历史、科学、艺术价值,虎节是干什么用的？铭文写了什么？,4,"first_time,craft",铜弩机,DOC_035/DOC_250
铜印花板模,印花铜板模,王墓展区,主体陈列楼,,待核实,待核实,馆方明确表述印花铜板模具有重大历史、科学、艺术价值,古代怎么批量印花？,3,"craft,study",铜虎节,DOC_036/DOC_250
平板玻璃铜牌饰,玻璃牌饰,王墓展区,主体陈列楼,,待核实,待核实,馆方明确表述平板玻璃铜牌饰具有重大历史、科学、艺术价值,汉代哪来的玻璃？和海外贸易有关吗？,3,"student,history",船纹铜提筒,DOC_197/DOC_250
“赵眜”玉印等墓主印章组合,帝印、赵眜印,王墓展区,主体陈列楼,,南越文帝,推断,出土玺印共23枚、7种材质，为判断墓主及殉人身份提供直接依据,靠哪几枚印章确认墓主？,4,"student,history",文帝行玺,DOC_203/DOC_250
墓主人组玉佩,组玉佩,王墓展区,主体陈列楼,,美玉大观,推断,墓主生前佩挂的大型玉佩组合，反映礼制与工艺,组玉佩由哪些件组成？怎么佩戴？,4,"craft,family",右夫人组玉佩、透雕龙凤纹重环玉佩,DOC_022/DOC_250
透雕龙凤纹重环玉佩,龙凤纹玉佩,王墓展区,主体陈列楼,,美玉大观,推断,院方典藏精品页重点推介的玉器代表作,透雕工艺难在哪？,3,craft,墓主人组玉佩、圆雕玉舞人,DOC_017/DOC_250
铜承盘高足玉杯,承盘高足玉杯,王墓展区,主体陈列楼,,美玉大观,推断,金玉铜多材质复合器物，工艺价值高,这件器物由几种材料组成？,3,craft,角形玉杯、鎏金铜框玉盖杯,DOC_016/DOC_250
圆雕玉舞人,玉舞人,王墓展区,主体陈列楼,,美玉大观,推断,立体圆雕人物玉器，体现南越玉雕水平,玉舞人在做什么动作？,3,"family,craft",透雕龙凤纹重环玉佩,DOC_021/DOC_250
