doc_id,title,source_name,source_url,source_type,source_tier,evidence_role,category,published_at,retrieved_at,effective_from,effective_until,last_checked_at,volatility,zone,floor,visitor_types,recommended_duration,topic_tags,review_status,version,content_hash
DOC_234,王墓展区参观指南（2026年版）,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12532,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,monthly_check,王墓展区,,first_time|family|senior|student,,参观指南|开放时间|门票|预约|王墓展区|交通|行李寄存,approved,1,4860e6510b667b4cfc8272f8c84c25b1d8d8e608d39be494eb6461dbccb61f08
DOC_235,王宫展区参观指南,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12498,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,monthly_check,王宫展区,,first_time|family|senior|student,,参观指南|开放时间|免费预约|王宫展区|交通|出入口,approved,1,a5d1bf5d2ca37adebc36b02b539a07d8ec39264fb3551a0c0402563fb6076c21
DOC_236,南越文王墓墓室下层参观公告（预约限流）,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12469,official,extended,factual,tourism,2025-07-09,2026-08-27,2025-07-09,,2026-08-27,monthly_check,王墓展区,,first_time|student,20,墓室下层|预约|限流|王墓展区|古墓保护区|讲解,approved,1,d3c905b034d66b69189e800baa41405d99a8652ccbb14127e5227fb160d83942
DOC_237,南越文王墓原址展示区恢复对外开放公告,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12524,official,extended,factual,tourism,2025-12-16,2026-08-27,2025-12-16,,2026-08-27,stable,王墓展区,,first_time,,墓原址|恢复开放|王墓展区|古墓保护区|公告,approved,1,8811dc1310f7197fb143ae7781d818aefb8152ec48304a24350b97cd77905864
DOC_238,南越文王墓原址展示区暂停开放公告（历史记录，已恢复）,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12496,official,extended,factual,tourism,2025-09-21,2026-08-27,2025-10-09,2025-12-16,2026-08-27,expired,王墓展区,,,,墓原址|暂停开放|历史公告|王墓展区,approved,1,dbf655098e7b92566f7f4f159a7089ea89b623235640361bd2835fd4136c4cbd
DOC_239,王宫展区2026年暑期延长开放服务时间公告,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12596,official,extended,factual,tourism,2026-07-07,2026-08-27,2026-07-11,2026-08-31,2026-08-27,weekly_check,王宫展区,,family|student,,暑期|延长开放|王宫展区|开放时间|临时公告,approved,1,76ff8884e3be999b03ddff3fe485634f165a8983c3cc2cb5a11971b74833735a
DOC_240,台风“红霞”后恢复开放公告（2026年7月）,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12604,official,extended,factual,tourism,2026-07-27,2026-08-27,2026-07-28,2026-07-28,2026-08-27,expired,两展区,,,,恢复开放|台风|临时公告|闭馆,approved,1,756b40b2641d130dc8982918f0a34f3e91d004785dc33f9fb071767fd173497f
DOC_241,规范社会人士及机构在展区内开展讲解研学活动秩序公告,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12609,official,extended,factual,tourism,2026-08-12,2026-08-27,2026-09-01,,2026-08-27,stable,两展区,,student|group,,研学|讲解秩序|社会机构|申请备案|公告,approved,1,bde0a7511519e413ebf40e8c85cda5ab7af2c303fcad432caab7844efaf0f5f5
DOC_242,警惕院外无授权商铺消费风险公告,南越王博物院,https://www.nywmuseum.org.cn/News/Details/tzgg?nid=12597,official,extended,factual,tourism,2026-07-07,2026-08-27,2026-07-07,,2026-08-27,stable,两展区,,first_time,,消费提示|防骗|官方渠道|讲解|文创,approved,1,61fe5d8190a8c7d2d07e82d725169b4e67cf2acdf346fa693632329c73d12d2a
DOC_243,馆内便民服务（行李寄存、租借、医药箱）,南越王博物院,https://www.nywmuseum.org.cn/News/VisitIndex/Visit-0,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,monthly_check,两展区,,family|senior|disabled,,便民服务|行李寄存|租借服务|医药箱|充电宝,approved,1,e6ec6acdb11baa42149992df882dc5367b8c11fd7befd3f4eb412ea2efa0631d
DOC_244,无障碍与爱心服务（手语导赏、轮椅租借、爱心预约）,南越王博物院,https://www.nywmuseum.org.cn/News/Details/fwjs,official,extended,factual,tourism,2022-09-07,2026-08-27,,,2026-08-27,monthly_check,两展区,,disabled|senior,,无障碍|手语导赏|轮椅|爱心服务|婴儿车|盲文,approved,1,3b82c6af9455bce0b87599f08c034e1e3012047fb32b12f5f7eb56bb49ad19a0
DOC_245,讲解与导览服务（免费定时讲解、收费讲解、语音导览）,南越王博物院,https://www.nywmuseum.org.cn/News/VisitIndex/Visit-0,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,monthly_check,两展区,,first_time|foreign,,讲解服务|语音导览|定时讲解|收费讲解|多语种,approved,1,26ef29a2300996ec098b530eb5a1fee3da41b70b4b3e8189b8298f09b8c07631
DOC_246,参观须知（全员实名预约制）,南越王博物院,https://www.nywmuseum.org.cn/News/VisitIndex/Visit-0,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,monthly_check,两展区,,first_time,,参观须知|实名预约|入馆流程|咨询投诉,approved,1,4fb0d054087932a1c083aa67d8a3eb8ce1cbb5ca6d3a0121eff76a47918836c9
DOC_247,两展区地址与交通指引,南越王博物院,https://www.nywmuseum.org.cn/News/VisitIndex/Visit-0,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,quarterly_check,两展区,,first_time,,交通|地址|地铁|公交|出入口,approved,1,a75d2e1e241a8afec07d787bcc1c25cec6d32b41bd6b84638603293cdb551eff
DOC_248,王墓展区空间构成与展览分布,南越王博物院,https://www.nywmuseum.org.cn/About/Index/wmzq,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,quarterly_check,王墓展区,,first_time,,空间分布|主体陈列楼|综合陈列楼|古墓保护区|展厅,approved,1,58c2ea8b327c832c1001b9b5b235152fc00e85c5e6cbdf79a5d5db3d89ecd813
DOC_249,王宫展区空间构成与展览分布,南越王博物院,https://www.nywmuseum.org.cn/About/Index/wgzq,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,quarterly_check,王宫展区,,first_time,,空间分布|王宫展区|南越国宫署遗址|陈列楼|南越宫苑馆,approved,1,f3eef2adf9bf71c3bbe15da9f8681d31f691d0a8f25521f3eb132db4f420696d
DOC_250,南越藏珍陈列单元结构与官方重点文物表述,南越王博物院,https://www.nywmuseum.org.cn/Exhibition/BDetails/jbcl?nid=7647,official,extended,factual,tourism,,2026-08-27,,,2026-08-27,quarterly_check,王墓展区,,first_time|student,,南越藏珍|展览单元|重点文物|基本陈列|主体陈列楼,approved,1,c813a5c2363bf1ec4b90d8132b62ecfa0095428671ed646a7d2c3a169f34fc95
DOC_251,第一次参观王墓展区路线（项目整理）,AI-trip 项目整理,https://github.com/diongJ/AI-trip,other,extended,curated_guidance,tourism,,2026-08-27,,,2026-08-27,review_on_official_change,王墓展区,,,,路线|第一次参观|王墓展区|项目整理建议,approved,1,ea9cf8a28017cdde17fed99701a72af8d3ae0da571d789ab8e982150b1d850f9
DOC_252,30分钟精华路线（项目整理）,AI-trip 项目整理,https://github.com/diongJ/AI-trip,other,extended,curated_guidance,tourism,,2026-08-27,,,2026-08-27,review_on_official_change,王墓展区,,,,路线|30分钟|精华|项目整理建议,approved,1,57eb40bfb4cbf7cdf49e1ff1c0056af1b06b67ad70992c0c6879aed0f602ef06
DOC_253,1小时重点路线（项目整理）,AI-trip 项目整理,https://github.com/diongJ/AI-trip,other,extended,curated_guidance,tourism,,2026-08-27,,,2026-08-27,review_on_official_change,王墓展区,,,,路线|一小时|重点文物|项目整理建议,approved,1,767ad6a0cf4daf936ab3fa5527226292192209c0c3d9589f35b33771700ff0fc
